# time flux err_flux
1.327099419377183040e+03 8.464642578125000000e+03 1.140917110443115234e+01
1.327100808278552222e+03 8.448053710937500000e+03 1.140766811370849609e+01
1.327102197179922541e+03 8.472747070312500000e+03 1.141664028167724609e+01
1.327103586081351295e+03 8.446557617187500000e+03 1.140876007080078125e+01
1.327104974982721387e+03 8.486058593750000000e+03 1.142465782165527344e+01
1.327106363884149459e+03 8.446865234375000000e+03 1.140426063537597656e+01
1.327107752785519324e+03 8.467461914062500000e+03 1.141184711456298828e+01
1.327109141686890098e+03 8.457074218750000000e+03 1.140640449523925781e+01
1.327110530588318170e+03 8.463318359375000000e+03 1.141041374206542969e+01
1.327111919489687580e+03 8.448349609375000000e+03 1.141477489471435547e+01
1.327113308391116561e+03 8.447957031250000000e+03 1.140237331390380859e+01
1.327114697292486426e+03 8.454081054687500000e+03 1.140820121765136719e+01
1.327116086193855836e+03 8.454957031250000000e+03 1.141323471069335938e+01
1.327117475095284817e+03 8.437124023437500000e+03 1.139837741851806641e+01
1.327118863996654682e+03 8.463886718750000000e+03 1.140784072875976562e+01
1.327120252898082299e+03 8.450543945312500000e+03 1.140597915649414062e+01
1.327121641799452846e+03 8.469916992187500000e+03 1.141325569152832031e+01
1.327123030700823392e+03 8.459034179687500000e+03 1.141794013977050781e+01
1.327124419602251010e+03 8.476141601562500000e+03 1.141971588134765625e+01
1.327125808503620874e+03 8.447450195312500000e+03 1.139939975738525391e+01
1.327127197404991648e+03 8.476912109375000000e+03 1.142028808593750000e+01
1.327128586306419265e+03 8.453144531250000000e+03 1.140673637390136719e+01
1.327129975207789130e+03 8.452448242187500000e+03 1.140485191345214844e+01
1.327131364109159904e+03 8.456184570312500000e+03 1.140714168548583984e+01
1.327132753010587521e+03 8.470546875000000000e+03 1.141777801513671875e+01
1.327134141911957386e+03 8.470710937500000000e+03 1.141414070129394531e+01
1.327135530813328160e+03 8.460868164062500000e+03 1.140653800964355469e+01
1.327136919714756232e+03 8.454569335937500000e+03 1.141564941406250000e+01
1.327138308616126096e+03 8.471602539062500000e+03 1.141589927673339844e+01
1.327139697517496415e+03 8.445180664062500000e+03 1.141826534271240234e+01
1.327141086418924488e+03 8.467286132812500000e+03 1.141419219970703125e+01
1.327142475320294352e+03 8.459750000000000000e+03 1.141258239746093750e+01
1.327143864221664444e+03 8.448440429687500000e+03 1.141091060638427734e+01
1.327145253123093198e+03 8.466042968750000000e+03 1.140991783142089844e+01
1.327146642024463290e+03 8.448835937500000000e+03 1.140188217163085938e+01
1.327148030925832472e+03 8.442531250000000000e+03 1.141287708282470703e+01
1.327149419827261454e+03 8.474627929687500000e+03 1.141924381256103516e+01
1.327150808728631546e+03 8.469304687500000000e+03 1.142849636077880859e+01
1.327152197630000728e+03 8.451045898437500000e+03 1.140933418273925781e+01
1.327153586531371502e+03 8.465263671875000000e+03 1.141719627380371094e+01
1.327154975432800484e+03 8.449944335937500000e+03 1.140476989746093750e+01
1.327156364334169666e+03 8.399793945312500000e+03 1.138688564300537109e+01
1.327157753235539758e+03 8.463284179687500000e+03 1.141411590576171875e+01
1.327159142136968512e+03 8.481676757812500000e+03 1.141749572753906250e+01
1.327160531038337695e+03 8.444744140625000000e+03 1.140350818634033203e+01
1.327161919939708014e+03 8.454083984375000000e+03 1.140445327758789062e+01
1.327163308841078560e+03 8.460477539062500000e+03 1.140651130676269531e+01
1.327164697742505950e+03 8.425375976562500000e+03 1.139613819122314453e+01
1.327166086643876042e+03 8.475843750000000000e+03 1.142082118988037109e+01
1.327167475545246589e+03 8.461828125000000000e+03 1.140493011474609375e+01
1.327168864446616681e+03 8.454871093750000000e+03 1.140261840820312500e+01
1.327170253348044980e+03 8.462700195312500000e+03 1.140933322906494141e+01
1.327171642249414845e+03 8.457773437500000000e+03 1.141188049316406250e+01
1.327173031150784709e+03 8.441198242187500000e+03 1.139627075195312500e+01
1.327174420052155028e+03 8.471242187500000000e+03 1.141097831726074219e+01
1.327175808953524893e+03 8.471208984375000000e+03 1.141157436370849609e+01
1.327177197854952965e+03 8.481802734375000000e+03 1.140682315826416016e+01
1.327178586756323057e+03 8.464117187500000000e+03 1.140318679809570312e+01
1.327179975657693149e+03 8.461711914062500000e+03 1.140748119354248047e+01
1.327181364559063013e+03 8.457735351562500000e+03 1.140028858184814453e+01
1.327182753460491085e+03 8.461715820312500000e+03 1.139627170562744141e+01
1.327184142361861404e+03 8.483021484375000000e+03 1.140367794036865234e+01
1.327185531263231951e+03 8.470992187500000000e+03 1.140813732147216797e+01
1.327186920164602498e+03 8.438805664062500000e+03 1.139082431793212891e+01
1.327188309065971907e+03 8.442889648437500000e+03 1.138866424560546875e+01
1.327189697967399979e+03 8.464375000000000000e+03 1.139513683319091797e+01
1.327191086868770753e+03 8.474086914062500000e+03 1.141906738281250000e+01
1.327192475770140163e+03 8.472981445312500000e+03 1.140430164337158203e+01
1.327193864671510028e+03 8.465812500000000000e+03 1.140163135528564453e+01
1.327195253572880802e+03 8.457076171875000000e+03 1.139759063720703125e+01
1.327196642474250211e+03 8.467456054687500000e+03 1.140429973602294922e+01
1.327198031375678283e+03 8.472146484375000000e+03 1.140510368347167969e+01
1.327199420277049057e+03 8.454524414062500000e+03 1.139999008178710938e+01
1.327200809178418922e+03 8.466066406250000000e+03 1.139433765411376953e+01
1.327202198079788786e+03 8.459635742187500000e+03 1.139336299896240234e+01
1.327203586981158878e+03 8.477044921875000000e+03 1.140217494964599609e+01
1.327204975882528970e+03 8.461793945312500000e+03 1.139549636840820312e+01
1.327206364783898835e+03 8.473424804687500000e+03 1.139670848846435547e+01
1.327207753685326907e+03 8.457724609375000000e+03 1.139244842529296875e+01
1.327209142586697226e+03 8.456827148437500000e+03 1.139107131958007812e+01
1.327210531488067090e+03 8.469866210937500000e+03 1.139403438568115234e+01
1.327211920389436955e+03 8.467078125000000000e+03 1.140345191955566406e+01
1.327213309290807047e+03 8.467357421875000000e+03 1.139474868774414062e+01
1.327214698192177593e+03 8.475863281250000000e+03 1.139673423767089844e+01
1.327216087093547685e+03 8.452879882812500000e+03 1.138923358917236328e+01
1.327217475994916867e+03 8.435398437500000000e+03 1.138257884979248047e+01
1.327218864896287641e+03 8.463583984375000000e+03 1.139035511016845703e+01
1.327220253797715941e+03 8.456137695312500000e+03 1.137973117828369141e+01
1.327221642699085123e+03 8.478498046875000000e+03 1.139576721191406250e+01
1.327223031600455897e+03 8.464434570312500000e+03 1.138293933868408203e+01
1.327224420501825762e+03 8.456462890625000000e+03 1.138666057586669922e+01
1.327225809403195854e+03 8.453418945312500000e+03 1.138566684722900391e+01
1.327227198304566400e+03 8.486546875000000000e+03 1.139831066131591797e+01
1.327228587205935810e+03 8.458386718750000000e+03 1.138366699218750000e+01
1.327229976107305674e+03 8.444467773437500000e+03 1.137687492370605469e+01
1.327231365008676448e+03 8.461695312500000000e+03 1.137832832336425781e+01
1.327232753910046540e+03 8.477117187500000000e+03 1.139048957824707031e+01
1.327234142811416632e+03 8.463622070312500000e+03 1.138516044616699219e+01
1.327235531712786496e+03 8.456583984375000000e+03 1.138794231414794922e+01
1.327236920614156361e+03 8.454234375000000000e+03 1.137693214416503906e+01
1.327238309515526453e+03 8.460475585937500000e+03 1.137858295440673828e+01
1.327239698416896545e+03 8.471089843750000000e+03 1.138420391082763672e+01
1.327241087318266409e+03 8.468125976562500000e+03 1.138717269897460938e+01
1.327242476219636274e+03 8.472281250000000000e+03 1.138873767852783203e+01
1.327243865121006593e+03 8.468416015625000000e+03 1.138467502593994141e+01
1.327245254022376457e+03 8.486108398437500000e+03 1.138245964050292969e+01
1.327246642923747231e+03 8.478642578125000000e+03 1.138343429565429688e+01
1.327248031825117096e+03 8.464730468750000000e+03 1.137803840637207031e+01
1.327249420726486505e+03 8.443636718750000000e+03 1.136732482910156250e+01
1.327250809627857052e+03 8.459392578125000000e+03 1.137035751342773438e+01
1.327252198529227144e+03 8.431801757812500000e+03 1.135708332061767578e+01
1.327253587430596326e+03 8.451189453125000000e+03 1.137077426910400391e+01
1.327254976331966873e+03 8.444974609375000000e+03 1.136816692352294922e+01
1.327256365233337192e+03 8.449209960937500000e+03 1.137229728698730469e+01
1.327257754134706374e+03 8.470841796875000000e+03 1.137299823760986328e+01
1.327259143036076921e+03 8.435284179687500000e+03 1.135703468322753906e+01
1.327260531937447013e+03 8.455392578125000000e+03 1.136379718780517578e+01
1.327261920838816195e+03 8.458564453125000000e+03 1.136338424682617188e+01
1.327263309740186969e+03 8.470830078125000000e+03 1.136454582214355469e+01
1.327264698641557743e+03 8.485604492187500000e+03 1.137846374511718750e+01
1.327266087542927608e+03 8.474996093750000000e+03 1.136457633972167969e+01
1.327267476444297699e+03 8.466866210937500000e+03 1.136591625213623047e+01
1.327268865345667791e+03 8.470435546875000000e+03 1.136783790588378906e+01
1.327270254247037656e+03 8.473861328125000000e+03 1.136732292175292969e+01
1.327271643148407520e+03 8.458677734375000000e+03 1.136198234558105469e+01
1.327273032049777612e+03 8.439402343750000000e+03 1.134567260742187500e+01
1.327274420951147704e+03 8.463125976562500000e+03 1.136063480377197266e+01
1.327275809852459361e+03 8.480187500000000000e+03 1.137712478637695312e+01
1.327277198753829225e+03 8.450011718750000000e+03 1.135422897338867188e+01
1.327278587655199999e+03 8.452833984375000000e+03 1.134956932067871094e+01
1.327279976556570091e+03 8.455957031250000000e+03 1.135294342041015625e+01
1.327281365457939273e+03 8.480537109375000000e+03 1.135844230651855469e+01
1.327282754359310047e+03 8.466782226562500000e+03 1.136135673522949219e+01
1.327284143260679912e+03 8.463926757812500000e+03 1.135756206512451172e+01
1.327285532162049321e+03 8.475127929687500000e+03 1.135427665710449219e+01
1.327286921063361888e+03 8.466649414062500000e+03 1.135547256469726562e+01
1.327288309964731752e+03 8.466009765625000000e+03 1.136415100097656250e+01
1.327289698866101162e+03 8.456927734375000000e+03 1.134675693511962891e+01
1.327291087767471936e+03 8.460430664062500000e+03 1.134718322753906250e+01
1.327292476668841800e+03 8.461486328125000000e+03 1.134820556640625000e+01
1.327293865570211210e+03 8.463215820312500000e+03 1.135224342346191406e+01
1.327295254471581757e+03 8.454442382812500000e+03 1.134627914428710938e+01
1.327296643372894096e+03 8.448853515625000000e+03 1.134457302093505859e+01
1.327298032274263505e+03 8.456079101562500000e+03 1.135054397583007812e+01
1.327299421175633370e+03 8.477081054687500000e+03 1.135074710845947266e+01
1.327300810077004144e+03 8.453079101562500000e+03 1.134559726715087891e+01
1.327302198978373553e+03 8.439186523437500000e+03 1.134047317504882812e+01
1.327303587879685210e+03 8.451060546875000000e+03 1.134069252014160156e+01
1.327304976781055984e+03 8.467349609375000000e+03 1.134932422637939453e+01
1.327306365682425849e+03 8.476034179687500000e+03 1.135596179962158203e+01
1.327307754583795941e+03 8.466458984375000000e+03 1.134199237823486328e+01
1.327309143485166032e+03 8.458705078125000000e+03 1.134276771545410156e+01
1.327310532386478599e+03 8.461681640625000000e+03 1.134423065185546875e+01
1.327311921287848463e+03 8.444958984375000000e+03 1.133422851562500000e+01
1.327313310189217873e+03 8.459988281250000000e+03 1.134596920013427734e+01
1.327314699090588419e+03 8.472069335937500000e+03 1.135145092010498047e+01
1.327316087991958511e+03 8.466767578125000000e+03 1.134471607208251953e+01
1.327317476893269486e+03 8.458969726562500000e+03 1.134009552001953125e+01
1.327318865794640033e+03 8.454057617187500000e+03 1.134116458892822266e+01
1.327320254696010124e+03 8.450879882812500000e+03 1.133808135986328125e+01
1.327321643597321099e+03 8.468288085937500000e+03 1.135104751586914062e+01
1.327323032498691873e+03 8.472832031250000000e+03 1.135164642333984375e+01
1.327324421400062647e+03 8.466514648437500000e+03 1.134460830688476562e+01
1.327325810301432057e+03 8.447637695312500000e+03 1.133791255950927734e+01
1.327327199202743714e+03 8.446070312500000000e+03 1.133211040496826172e+01
1.327328588104114488e+03 8.469264648437500000e+03 1.134301376342773438e+01
1.327329977005483670e+03 8.450623046875000000e+03 1.133419227600097656e+01
1.327331365906853762e+03 8.449568359375000000e+03 1.133343887329101562e+01
1.327332754808166101e+03 8.465430664062500000e+03 1.134421825408935547e+01
1.327334143709535283e+03 8.475001953125000000e+03 1.134394264221191406e+01
1.327335532610905602e+03 8.439230468750000000e+03 1.133725070953369141e+01
1.327336921512217941e+03 8.448486328125000000e+03 1.133201122283935547e+01
1.327338310413587124e+03 8.453562500000000000e+03 1.133524417877197266e+01
1.327339699314957215e+03 8.458291015625000000e+03 1.134271240234375000e+01
1.327341088216269554e+03 8.473863281250000000e+03 1.134447288513183594e+01
1.327342477117640328e+03 8.454075195312500000e+03 1.133267402648925781e+01
1.327343866019010193e+03 8.457613281250000000e+03 1.133102130889892578e+01
1.327345254920321395e+03 8.455758789062500000e+03 1.133253288269042969e+01
1.327346643821692169e+03 8.464947265625000000e+03 1.134020137786865234e+01
1.327348032723062033e+03 8.457599609375000000e+03 1.133252239227294922e+01
1.327349421624373235e+03 8.471622070312500000e+03 1.133724021911621094e+01
1.327350810525744009e+03 8.461865234375000000e+03 1.133700942993164062e+01
1.327352199427055666e+03 8.463801757812500000e+03 1.133241081237792969e+01
1.327353588328425076e+03 8.466606445312500000e+03 1.133770942687988281e+01
1.327354977229795622e+03 8.462977539062500000e+03 1.133231735229492188e+01
1.327356366131107961e+03 8.469918945312500000e+03 1.133854389190673828e+01
1.327357755032477371e+03 8.449960937500000000e+03 1.132933998107910156e+01
1.327359143933789028e+03 8.474453125000000000e+03 1.134776782989501953e+01
1.327360532835159802e+03 8.469457031250000000e+03 1.133931446075439453e+01
1.327361921736529212e+03 8.471521484375000000e+03 1.133341121673583984e+01
1.327363310637840868e+03 8.467512695312500000e+03 1.133642578125000000e+01
1.327364699539211642e+03 8.443346679687500000e+03 1.132720565795898438e+01
1.327366088440522844e+03 8.453364257812500000e+03 1.133413505554199219e+01
1.327367477341892709e+03 8.476062500000000000e+03 1.133726501464843750e+01
1.327368866243205275e+03 8.457711914062500000e+03 1.133252811431884766e+01
1.327370255144575140e+03 8.472937500000000000e+03 1.133897686004638672e+01
1.327371644045887024e+03 8.455340820312500000e+03 1.132950019836425781e+01
1.327373032947257116e+03 8.455484375000000000e+03 1.133286571502685547e+01
1.327374421848626980e+03 8.458176757812500000e+03 1.134146118164062500e+01
1.327375810749938637e+03 8.472711914062500000e+03 1.133871364593505859e+01
1.327377199651308729e+03 8.444377929687500000e+03 1.132405757904052734e+01
1.327378588552620613e+03 8.448055664062500000e+03 1.133320617675781250e+01
1.327379977453990477e+03 8.461982421875000000e+03 1.133390998840332031e+01
1.327381366355302134e+03 8.450793945312500000e+03 1.132878494262695312e+01
1.327382755256672908e+03 8.444918945312500000e+03 1.132267570495605469e+01
1.327384144157984792e+03 8.453836914062500000e+03 1.132995891571044922e+01
1.327385533059353975e+03 8.458558593750000000e+03 1.133775520324707031e+01
1.327386921960666541e+03 8.463312500000000000e+03 1.133362579345703125e+01
1.327388310862037315e+03 8.438648437500000000e+03 1.132507324218750000e+01
1.327389699763348290e+03 8.457678710937500000e+03 1.132912826538085938e+01
1.327391088664660174e+03 8.437012695312500000e+03 1.133138465881347656e+01
1.327392477566030948e+03 8.446374023437500000e+03 1.132118511199951172e+01
1.327393866467341923e+03 8.459764648437500000e+03 1.133646965026855469e+01
1.327395255368712014e+03 8.453295898437500000e+03 1.132193565368652344e+01
1.327396644270024353e+03 8.469357421875000000e+03 1.133714962005615234e+01
1.327398033171393536e+03 8.447944335937500000e+03 1.132922458648681641e+01
1.327399422072705420e+03 8.473599609375000000e+03 1.133391666412353516e+01
1.327400810974075966e+03 8.470519531250000000e+03 1.132636451721191406e+01
1.327402199875387851e+03 8.463438476562500000e+03 1.133729267120361328e+01
1.327403588776699735e+03 8.459956054687500000e+03 1.132911777496337891e+01
1.327404977678069599e+03 8.464758789062500000e+03 1.132756519317626953e+01
1.327406366579381483e+03 8.475039062500000000e+03 1.133179950714111328e+01
1.327407755480751575e+03 8.466906250000000000e+03 1.132691669464111328e+01
1.327409144382063232e+03 8.451218750000000000e+03 1.132862567901611328e+01
1.327410533283374889e+03 8.474536132812500000e+03 1.135066223144531250e+01
1.327411922184744981e+03 8.456650390625000000e+03 1.133206653594970703e+01
1.327413311086056865e+03 8.453554687500000000e+03 1.134550094604492188e+01
1.327414699987368522e+03 8.456720703125000000e+03 1.133713817596435547e+01
1.327416088888738386e+03 8.468320312500000000e+03 1.133496952056884766e+01
1.327417477790050498e+03 8.448453125000000000e+03 1.132625484466552734e+01
1.327418866691362155e+03 8.479161132812500000e+03 1.133694362640380859e+01
1.327420255592732929e+03 8.457879882812500000e+03 1.132885551452636719e+01
1.327421644494044585e+03 8.451424804687500000e+03 1.132474040985107422e+01
1.327423033395356242e+03 8.478689453125000000e+03 1.134099102020263672e+01
1.327424422296727016e+03 8.450902343750000000e+03 1.132860183715820312e+01
1.327425811198038218e+03 8.460285156250000000e+03 1.133295059204101562e+01
1.327427200099349875e+03 8.445564453125000000e+03 1.132306194305419922e+01
1.327428589000720649e+03 8.470025390625000000e+03 1.133586597442626953e+01
1.327429977902031851e+03 8.476354492187500000e+03 1.134236145019531250e+01
1.327431366803343508e+03 8.469027343750000000e+03 1.133052158355712891e+01
1.327432755704714282e+03 8.449582031250000000e+03 1.133157730102539062e+01
1.327434144606025939e+03 8.466378906250000000e+03 1.133645820617675781e+01
1.327435533507337595e+03 8.451673828125000000e+03 1.133569622039794922e+01
1.327436922408649480e+03 8.473250976562500000e+03 1.133471298217773438e+01
1.327438311310019571e+03 8.458291015625000000e+03 1.133723449707031250e+01
1.327439700211331228e+03 8.463044921875000000e+03 1.133901977539062500e+01
1.327441089112643112e+03 8.460358398437500000e+03 1.133146858215332031e+01
1.327442478013954997e+03 8.458636718750000000e+03 1.133814620971679688e+01
1.327443866915324861e+03 8.456946289062500000e+03 1.133269214630126953e+01
1.327445255816636518e+03 8.435963867187500000e+03 1.132092857360839844e+01
1.327446644717948402e+03 8.443304687500000000e+03 1.133805847167968750e+01
1.327448033619260741e+03 8.467085937500000000e+03 1.135044288635253906e+01
1.327449422520572625e+03 8.469708007812500000e+03 1.133909797668457031e+01
1.327450811421941808e+03 8.459810546875000000e+03 1.134678363800048828e+01
1.327452200323254374e+03 8.465903320312500000e+03 1.134037971496582031e+01
